Name,Date,Motive,Attack Name,Nationality,Suspected Perpetrator,Epicenter of the attack,MONEY Lost (>200000),Devices affected (List of Devices),No. of Devices/Accounts affected,Social Engineering,Network,Bad Security Practices,Exploitation,Other Malware,Ransomware,Web Application,Wireless,Cloud,Mobile,IoT/OT,Insider(Yes/No),Attack Duration,Infected Time,Down Time,Recovery Time,Affected Company,Sector,Global or Not(Yes/No)
Mehul,8/1/2018,MONEY,Cosmos Bank Cyber Attack,India,"Fahim Shaikh and Mohammad Saeed Iqbal Hussain Jafari of Bhiwandi, Fahim Khan and Shaikh Mohammed Abdul Jabbar of Chhatrapati Sambhajinagar, Mahesh Rathod of Nanded, Naresh Maharana of Palghar, U A Waz alias Anthony, Bashir Ahmed and Feroz Shaikh of Mumbai, Abdulla Shaikh and Salman Baig of Thane.",Pune,940000000,SERVERS/ ATM,12000,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,7 HOURS,,,,COSMOS,Finance,NO
Mehul,5/1/2017,MONEY,Wannacry ransomware attack,USA,THE SHADOW BROKERS,GLOBAL,335547800000,WINDOWS COMPUTER,300000,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,,,7 HOURS,,,,,Nation,YES
Mehul,10/9/2018,MONEY,Aadhaar Data Breach,Unknown,pwn0001,Bengaluru,6710060,SERVERS,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,,YES,,,,,,Government,NO
Mehul,4/1/2019,HUMILIATION,Wipro Data Breach,Unknown,,,,SERVERS,,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,,FEW MONTHS,,,WIPRO,Service,NO
Mehul,10/1/2023,MONEY,SUZUKI PLANT SHUT,Unknown,,,,SERVER,,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,FEW DAYS,SUZUKI,Service,NO
Mehul,4/1/2023,MONEY,Insurance Information Bureau of India (IIB),Russia,RUSSIAN HACKERS,Hyderabad,21000000,SERVER,30,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,,,4 DAYS,,,,Insurance Information Bureau of India (IIB),Government,NO
Mehul,4/1/2018,DEFACEMENT,Indian Government Website Defacements,China,CHINESE,,,WEBSITES/SERVERS,700,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,,,,,,,Goverment Websites,Government,YES
Avanish,12/1/2020,MONEY,AIIMS Cyberattack,Unknown,Unknown,New Delhi,Undisclosed,Servers,5,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,Unknown,6 hours,Not Disclosed,5 Days,2 Weeks,AIIMS,Health,NO
Avanish,5/1/2023,MONEY,MoChhatua Data Breach,Unknown,Unknown,Odisha,N/A,Servers,Undisclosed,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,Unknown,Not Disclosed,Not Disclosed,N/A,Not Disclosed,"Department of Women and Child Development, Odisha",Government,NO
Avanish,2/1/2021,DISRUPTION,MHDeLsec disruption attack,Unknown,Unknown,Mumbai,"500,000","Servers, Desktops",100,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,5 days,4 hours,2 days,3 days,Maharashtra State Electricity Distribution Company Limited (MSEDCL),Service,NO
